time (UTC), time (unix millis), index (BTC), index (USD)
2018-10-17 00:00:08,1539734408951,0.0458622793735197556,302.659954743288665
2018-10-16 00:00:08,1539648008520,0.0456293179025097084,302.486836105338739
2018-10-15 00:00:20,1539561620165,0.0452316816895198745,283.863774381069106
2018-10-14 00:00:05,1539475205832,0.0456948913242650814,286.097754858121277
2018-10-13 00:00:30,1539388830109,0.0455323599344049507,284.324312322035723
2018-10-12 00:00:02,1539302402267,0.0448864087952053695,278.52788479224165
2018-10-11 00:00:50,1539216050090,0.0470342081928319181,309.426767490674933
2018-10-10 00:00:33,1539129633576,0.0471547950991113851,312.697592740737321
2018-10-09 00:00:21,1539043221848,0.0473622364443956473,314.983500718182142
2018-10-08 00:00:55,1538956855357,0.0471442259678047579,311.438056839135982
2018-10-07 00:00:57,1538870457381,0.0470195444846956689,309.903936916849773
2018-10-06 00:00:05,1538784005500,0.0474490248811569454,314.723213663479441
2018-10-05 00:00:16,1538697616847,0.0473812046367289921,311.801493352922478
2018-10-04 00:00:41,1538611241933,0.0474822621821233345,308.426731875443977
2018-10-03 00:00:02,1538524802160,0.0476480731722556602,311.004214883361612
2018-10-02 00:00:34,1538438434439,0.0481916853160952383,317.82561041020756
2018-10-01 00:00:31,1538352031027,0.0482192171215217041,319.391557216508147
2018-09-30 00:00:43,1538265643519,0.0481618549288588063,317.909180107157681
2018-09-29 00:00:35,1538179235605,0.0475524556591241654,315.403074748499193
2018-09-28 00:00:02,1538092802037,0.0478683262998147868,320.053852522980662
2018-09-27 00:00:09,1538006409075,0.0471928192908977612,304.993977087670771
2018-09-26 00:00:37,1537920037382,0.0473447582277385093,304.752053893383163
2018-09-25 00:00:27,1537833627542,0.0470104369257621918,309.423165949736017
2018-09-24 00:00:09,1537747209051,0.0483454583423067602,324.046553994729777
2018-09-23 00:00:21,1537660821789,0.0478776328062216969,321.516497794245083
2018-09-22 00:00:03,1537574403876,0.0481794822842880749,325.791104590824489
2018-09-21 00:00:36,1537488036299,0.0465409693028018615,302.835571517629319
2018-09-20 00:00:59,1537401659151,0.0446640051322643866,285.951020138142326
2018-09-19 00:00:54,1537315254157,0.0446568057863467385,283.353238099122279
2018-09-18 00:00:01,1537228801744,0.0437515406385111799,273.949396677224968
2018-09-17 00:00:55,1537142455824,0.0445900436979597831,289.963703362588717
2018-09-16 00:00:45,1537056045874,0.0444880927582366748,290.170025968178038
2018-09-15 00:00:58,1536969658188,0.0441050272329429199,285.975673427584923
2018-09-14 00:00:50,1536883250685,0.0443187740025631077,287.722355889779976
2018-09-13 00:00:42,1536796842435,0.0433616569204043692,274.889055964057491
2018-09-12 00:00:44,1536710444358,0.0435789990779018033,274.265738066747303
2018-09-11 00:00:23,1536624023083,0.0442501192288537598,279.914749210729383
2018-09-10 00:00:07,1536537607023,0.0444787090532538509,277.962575634861423
2018-09-09 00:00:55,1536451255436,0.0445382065535317867,276.149351329732042
2018-09-08 00:00:44,1536364844814,0.0450056087382462791,288.83879598466649
2018-09-07 00:00:01,1536278401582,0.0456009049675933156,297.109048243956863
2018-09-06 00:00:14,1536192014970,0.0446802235473217624,299.423177695670404
2018-09-05 00:00:40,1536105640087,0.0466306294093641119,343.603854784722671
2018-09-04 00:00:37,1536019237964,0.0467925798028802561,340.112802148831236
2018-09-03 00:00:38,1535932838061,0.0469759697276975891,342.988936090719335
2018-09-02 00:00:33,1535846433843,0.0473645174334484734,341.189354041497381
2018-09-01 00:00:24,1535760024567,0.0466563722625203472,327.821668428146722
2018-08-31 00:00:34,1535673634835,0.0465398406463039954,325.758872392650062
2018-08-30 00:00:20,1535587220549,0.0468085358080913561,330.003454044550608
2018-08-29 00:00:25,1535500825776,0.0471657953079038447,334.4738791362347
2018-08-28 00:00:26,1535414426461,0.0467666116748474692,323.453786991214542
2018-08-27 00:00:45,1535328045310,0.0460993231958747168,309.53206162577294
2018-08-26 00:00:42,1535241642209,0.0461658665380350608,311.55542857724879
2018-08-25 00:00:16,1535155216345,0.0463618168567592401,311.025202656097861
2018-08-24 00:00:34,1535068834315,0.0464546252603904447,303.814642841711304
2018-08-23 00:00:50,1534982450338,0.0464205447761672496,295.586532505827051
2018-08-22 00:00:10,1534896010273,0.0469755925455780168,304.922799016676038
2018-08-21 00:00:34,1534809634268,0.0468131709241187272,293.355203727699234
2018-08-20 00:00:57,1534723257753,0.048003566229117757,312.006859276747491
2018-08-19 00:00:24,1534636824835,0.0477236085067924559,305.767545883444598
2018-08-18 00:00:50,1534550450756,0.0490658240330137593,323.289807971124333
2018-08-17 00:00:19,1534464019053,0.0467222777137509399,295.369829696344937
2018-08-16 00:00:56,1534377656444,0.0463873485211410141,290.639932159209025
2018-08-15 00:00:20,1534291220342,0.0463253884526199436,287.162744447869557
2018-08-14 00:00:12,1534204812467,0.046646521690538692,292.025884391448415
2018-08-13 00:00:57,1534118457703,0.0484608427267299649,306.306448622842083
2018-08-12 00:00:27,1534032027340,0.0485912369266560673,303.451302782228595
2018-08-11 00:00:33,1533945633355,0.0499180574177622502,307.196723710057256
2018-08-10 00:00:30,1533859230692,0.0503851381134878817,329.820106388129375
2018-08-09 00:00:29,1533772829336,0.0504655544424324615,317.222942636319488
2018-08-08 00:00:51,1533686451505,0.0512754160837111464,344.581051165755639
2018-08-07 00:00:16,1533600016412,0.0520722492975936799,361.606882964758711
2018-08-06 00:00:05,1533513605199,0.0523218560809615429,368.470916046002799
2018-08-05 00:00:15,1533427215678,0.0520820114783441673,365.405309251603569
2018-08-04 00:00:21,1533340821940,0.0515341412205015739,382.273560135321986
